level,title,sha256,md5,max_score,rateave,hardrec,difficulty
★12,Mirage Imitation [超音速 時間旅行],0b55faab64d9063e936dac1768e36aeb29e20e915238cf0eb0f39c067182329f,5259008702ce6b6dd6919ce4d6dccf2b,4184,97.7294,15.99,9
★12,Ms.Naive Princess[RAFFLESIA],982343160f5dca02ac51af1e8fcbc8aadce23e51716d59c53c4abd28fa783275,1f5cf9788ce30603c5ffe261f55d6c3d,4110,95.9368,16.83,14
★12,Name of oath [SP EX],c4bd55e44064c4f82826b48671e21404a8bc0321bbd8579a1ba477990a006503,2132643e7ed1bf42f3a484d92321f57a,5356,97.9136,14.82,8
★12,Pure Ruby [Another+],5658f3472765dcc063f09998def77e741df732ee6059ebed8d8f99ecc38d44bf,db91d03800a7a171fe8d33300fefbe2e,3470,97.6081,14.68,9
★12,Pursuit Of Outer Space MX,d4a35472861179a7e5e582e5f9888f68b0fbae538eb015cb0f03b1ed0791e4d1,945e88bd2a886308bfcb5786d7551fe2,5200,94.1346,18.1,18
★12,Q [SAETHER],6f2e6701d9f7a2ec8cd4528bbc09fa471ec36b4a9a2514c93f79f9a4c0c6cce5,22e753d47b54f78e2cdd1473276f5d4b,5286,97.3988,16.53,9
★12,Quad Queens[ANOTHER],bfa6adbdd5e1cd301faff3f5f94e00e6bec7611b2386a46e47060bd19a0d264d,bcf58042dd33f7ae0a17466f1fdc7313,4566,96.4082,16.44,13
★12,SCARY BANQUET [BESESSENHEIT],e2ed2ea0d91d9547dea6e15e6aaec9b9025a94e6b3cd06cc1378fe943da80428,8a8019d432ab4dd9bde4e65faf1b663f,4294,97.0366,16.93,11
★12,sensitive(MANIAQ),e83cc46a4c791a0e9c84aa3b09897a49d6c75d0be9a6dc087dc5b4a7484a7c24,5ebddb1371e925549a343ea4d4bf3e30,5128,97.4844,15.51,9
★12,Tuk Tuk Boshi [7keys Crescent],32f09829c81f2d347dddc92259fd56c5638c306c418d24012beaeef6ab39e1e7,683340fac1d376bea11c0848531ed6dd,5026,98.6022,13.93,7
★12,Y [F],60a7477fc8530c34aacb0a9b31fdc3f9f085d1c8ef29490f1f6e48da176855ff,e9fc0fbbde68bfd10f2d289751a1fc6a,5600,97.1071,16.48,10
★12,★LittlE HearTs★(MANIAQ),4a44b56099ba9da4bb1a7dffc420cf3b111e9646ed8d04d39538249ae8d2b694,a74edf85c87807b2cdd8ebec098d9119,4816,97.1346,16.02,10
★12,おにコア,3b08d43e62af5cdbdd2b1fdab830ac14781113935582d527a12a0848486f813e,cf065a021b5ac6277d32ba6b212901e3,5124,98.1801,16.77,10
★12,おジャ魔女でBANBAN！(Pop-mix)(くそふめん♪),2bf3e6b6e22abfa2de1994d8a8d51dbb40845b5d34195031393c3ee19dea30c7,e243943bdbfe823ae8e073347ce10f5b,3054,94.8428,16.14,16
★12,どうか私を殺して下さい [29Another],132ea2e32c4e6fc7d62f533f67605c06a232aea7b2dd8ebf1aac3ad09ffa4842,65052079f634b2b182413930f1069769,3964,94.9231,16.4,16
★12,エナジーストリーム(Never Understand Remix) [ANOTHER],e20a09f8ee507a6b9321a6f113ef812e69e21186a8b374690026c07bf4ecd51a,40f5a6f06f776aaf5fd21656c31ba289,4136,97.3102,16.45,10
★12,キメラ,4085a7ef25aa8fce00327e330bb70bad02581bd0b52ae005faa0c5252d9b87c5,3ffe563b9ccdcd7181ac278c4690c146,4384,96.9263,16.22,11
★12,ナイト・オブ・ナイツ [HARDEST],260a80b432138a02ea365ac3d7c1d506097f838dacbf0e6df91353ad8b21c7c4,ebe7ae691b9cad8ab7b2323e37691f1c,7042,98.7894,15.42,11
★12,ピアノ協奏曲第1番 月光条例,aac0a50b800363721fb42a5ca33e14a29453c8e8794c4bc13a911ad98229557c,8142dedfec7ba92ac0a2f72d562a6caa,2920,93.9041,18.54,19
★12,ヨッシーアイランド 「クッパ」 [7KEYS SPECIAL],5ab243f7d48982002b61d573cdf3f83fe6d70ce6f18de04af6dc4835ae3a46a8,a772cef82596dc1c20bb60ac6b9dfcec,4896,94.2044,18.27,18
★12,彼岸帰航-idling mix-,213969d56f03128b522b31a00c80b57e8fa948b141fe9e8aa439eed672a88a0a,c87ebf62e8bf270fc9597205662d6793,4718,95.8139,17.41,14
★12,恐鳥,a582da4e58d6a08c77a1c1cb77cd84e02a5708fe862fd345f25d63ed8adeb782,1619bdb40886cc7726346b6996c9f5a3,4688,94.8272,18.09,16
★12,日溜りの街－あ！－(MANIAQ),ae0b011c3aeb9733773f7f83542c858918b7837ece984f801e260e254f585c1e,128ace6d39ccfe457e56ec49986a1f81,3960,97.2538,17.92,11
★12,歪んだ神(DistorteD),63b8632ecd0ab95862238bd96ac339e67ba8892e82338705a37acc05528327ee,594a6a5bd98f64dff7ac69fc43635a83,4940,98.3199,15.87,10
★12,絵空事の世界と私 [SABOTHER],06dbc31238547b5c42fa46d3e97eb9fb5335ebd4931d870752b930940a813c40,e753ee419908cc37b5f685a38eb90b42,5430,98.8444,16.58,10
